City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,banda aceh,5.5577,95.3222,26.58,82,91,2.85,ID,1702069380
83,langepas,61.2544,75.2124,-25.26,94,100,3.73,RU,1702069380
84,wailua homesteads,22.0669,-159.378,27.08,69,20,3.09,US,1702069380
85,lianzhou,24.7811,112.3825,15.65,74,99,1.18,CN,1702069380
86,barra de santo antonio,-9.4047,-35.5072,26.6,77,98,4.52,BR,1702069184
87,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1702069381
88,mandan,46.8267,-100.8896,0.99,95,75,9.26,US,1702069131
89,loushanguan,28.1375,106.82,12.61,84,100,0.89,CN,1702069382
90,weno,7.4515,151.8468,27.68,80,100,6.86,FM,1702069382
91,cinarli,41.4723,46.9156,4.09,95,98,0.85,AZ,1702069158
92,klyuchi,52.2667,79.1667,-24.43,75,11,2.71,RU,1702069383
93,port lincoln,-34.7333,135.8667,15.55,86,100,6.79,AU,1702069383
94,toledo,39.8333,-4.0,10.18,87,22,3.4,ES,1702069141
95,teguise,29.0605,-13.564,17.12,72,20,2.57,ES,1702069277
96,boende,-0.2167,20.8667,22.56,93,22,0.09,CD,1702069385
97,invercargill,-46.4,168.35,16.87,46,100,6.9,NZ,1702069385
98,bartica,6.4,-58.6167,28.18,95,100,1.76,GY,1702069385
99,chadan,51.2833,91.5833,-21.97,98,100,0.7,RU,1702069386
100,arteche,12.2645,125.4048,26.18,84,24,3.05,PH,1702069387
101,bredasdorp,-34.5322,20.0403,16.64,86,100,6.35,ZA,1702069388
102,badger,64.8,-147.5333,-18.69,85,100,0.0,US,1702069235
103,vikulovo,56.8167,70.6107,-26.86,90,100,3.48,RU,1702069394
104,holualoa,19.6228,-155.9522,25.86,72,40,3.09,US,1702069396
105,knittelfeld,47.2167,14.8167,-4.16,92,75,0.0,AT,1702069403
106,nova vicosa,-17.8919,-39.3719,26.13,74,76,6.7,BR,1702069406
107,salinopolis,-0.6136,-47.3561,27.94,76,55,4.73,BR,1702069411
108,san jose de jachal,-30.2406,-68.7469,29.41,29,0,8.12,AR,1702069412
109,khovd,48.0056,91.6419,-13.72,71,18,1.1,MN,1702069412
110,talnakh,69.4865,88.3972,-34.12,81,50,1.66,RU,1702069413
111,nuuk,64.1835,-51.7216,-0.66,86,20,4.63,GL,1702069413
112,port-vila,-17.7338,168.3219,25.78,78,75,5.14,VU,1702069345
113,nova sintra,14.8667,-24.7167,22.75,68,0,4.26,CV,1702069414
114,forster,-32.1667,152.5167,26.88,74,3,3.91,AU,1702069414
115,inhambane,-23.865,35.3833,24.97,79,2,5.51,MZ,1702069415
116,bazas,44.432,-0.2133,8.6,98,90,2.52,FR,1702069415
117,himimachi,36.85,136.9833,10.36,59,0,2.18,JP,1702069416
118,kyren,51.6828,102.1408,-23.36,95,71,0.45,RU,1702069143
119,rio grande,-32.035,-52.0986,23.06,66,0,5.8,BR,1702069416
120,atafu village,-8.5421,-172.5159,27.59,82,100,4.01,TK,1702069417
